customer_id,join_date,gender,region,age
10000,2023-04-13,M,West,57
10001,2024-03-11,M,North,51
10002,2023-09-28,M,East,29
10003,2023-04-17,F,East,62
10004,2023-03-13,F,North,24
10005,2023-01-21,M,South,27
10006,2023-05-02,M,South,62
10007,2024-04-11,F,West,34
10008,2023-08-03,F,South,43
10009,2023-11-27,M,North,38
10010,2024-04-03,M,East,45
10011,2023-03-29,F,South,63
10012,2024-01-08,M,West,19
10013,2023-04-10,M,South,60
10014,2023-05-11,M,North,18
10015,2023-11-05,F,West,68
10016,2023-12-10,F,South,53
10017,2024-05-06,F,West,68
10018,2024-02-18,F,North,43
10019,2024-01-21,F,East,46
10020,2023-07-11,F,North,38
10021,2023-10-04,F,North,28
10022,2023-06-10,M,North,57
10023,2024-04-04,M,North,28
10024,2023-11-10,M,East,53
10025,2023-01-22,M,East,66
10026,2023-09-10,M,West,56
10027,2024-07-14,M,South,57
10028,2024-04-19,M,East,52
10029,2023-02-28,F,East,51
10030,2024-05-25,F,South,64
10031,2024-04-20,M,East,41
10032,2023-07-09,M,North,39
10033,2024-07-16,F,North,22
10034,2024-07-20,M,South,50
10035,2023-09-01,M,West,53
10036,2024-05-19,F,West,64
10037,2023-05-11,M,South,37
10038,2024-04-29,F,South,36
10039,2023-01-21,M,North,52
10040,2023-06-16,F,West,69
10041,2023-10-01,F,East,60
10042,2024-01-23,F,North,34
10043,2023-11-12,M,South,62
10044,2023-01-14,F,West,60
10045,2023-08-30,M,East,51
10046,2023-12-12,M,East,26
10047,2024-07-18,M,North,43
10048,2023-12-06,M,West,19
10049,2023-04-02,F,West,26
10050,2024-01-02,F,South,26
10051,2024-03-30,M,West,57
10052,2024-03-03,M,West,34
10053,2024-05-23,F,North,18
10054,2023-02-04,M,West,42
10055,2023-07-25,F,East,60
10056,2023-03-22,M,North,57
10057,2024-07-15,M,North,59
10058,2024-01-23,F,South,42
10059,2023-01-02,M,West,56
10060,2024-01-25,F,South,52
10061,2024-07-19,M,East,20
10062,2023-04-16,M,North,67
10063,2024-04-21,M,North,54
10064,2024-02-06,F,North,61
10065,2024-07-09,M,East,61
10066,2023-06-11,M,East,68
10067,2023-07-21,M,South,47
10068,2023-09-27,M,South,55
10069,2023-09-28,F,South,51
10070,2024-03-31,F,West,29
10071,2024-04-06,M,North,36
10072,2023-09-09,F,North,54
10073,2023-10-23,M,South,61
10074,2023-12-04,M,North,66
10075,2023-02-22,M,South,34
10076,2023-08-05,F,West,27
10077,2023-07-07,F,West,66
10078,2024-01-15,F,East,64
10079,2024-05-07,F,West,29
10080,2023-02-10,F,South,33
10081,2023-06-06,F,West,41
10082,2023-01-15,F,East,36
10083,2023-03-06,F,North,25
10084,2024-06-04,F,South,48
10085,2023-12-10,M,North,38
10086,2023-05-09,F,East,34
10087,2024-04-16,F,East,40
10088,2023-03-04,F,East,54
10089,2023-05-19,F,North,33
10090,2024-05-13,F,North,23
10091,2024-08-15,F,North,25
10092,2024-01-27,F,North,42
10093,2024-02-23,F,East,35
10094,2023-10-16,F,East,42
10095,2024-01-14,F,South,29
10096,2024-05-04,F,South,32
10097,2023-08-19,M,North,43
10098,2023-02-10,M,West,58
10099,2023-01-28,F,West,62
10100,2023-05-15,F,East,43
10101,2023-07-20,M,East,64
10102,2023-02-02,F,East,49
10103,2023-02-17,M,South,27
10104,2024-05-17,M,South,33
10105,2024-02-11,M,East,24
10106,2024-07-27,M,East,34
10107,2023-04-09,M,East,40
10108,2024-06-30,F,West,43
10109,2024-04-06,M,South,38
10110,2023-01-05,F,West,39
10111,2023-08-06,F,West,24
10112,2024-05-17,M,East,31
10113,2024-02-02,M,East,32
10114,2024-01-28,F,North,24
10115,2023-07-26,M,North,26
10116,2023-01-15,M,West,68
10117,2024-07-07,F,South,65
10118,2024-04-05,F,East,25
10119,2024-07-28,M,East,67
10120,2023-08-29,F,West,40
10121,2024-07-17,M,North,46
10122,2023-04-06,M,South,35
10123,2024-04-29,M,North,48
10124,2024-02-11,F,North,47
10125,2023-08-19,F,North,69
10126,2023-06-20,F,North,56
10127,2024-06-24,F,East,52
10128,2023-02-05,F,East,35
10129,2024-06-08,M,North,59
10130,2023-06-09,M,South,56
10131,2023-08-31,M,West,34
10132,2023-03-27,M,South,31
10133,2024-07-31,F,South,48
10134,2024-07-10,M,South,41
10135,2024-07-27,F,North,52
10136,2023-01-28,M,East,61
10137,2024-07-09,F,South,62
10138,2023-12-06,F,North,51
10139,2023-11-27,M,South,20
10140,2024-05-20,M,South,54
10141,2023-12-14,M,North,60
10142,2024-04-17,M,East,57
10143,2023-08-19,F,East,43
10144,2023-07-09,M,West,40
10145,2023-08-13,M,North,61
10146,2024-01-20,F,West,56
10147,2024-01-12,M,West,32
10148,2023-10-10,M,West,66
10149,2023-09-16,M,East,21
10150,2023-12-25,M,North,46
10151,2024-03-31,M,West,39
10152,2024-02-15,F,North,42
10153,2023-11-14,M,North,30
10154,2023-08-13,M,East,35
10155,2023-08-22,M,West,50
10156,2024-01-09,M,West,33
10157,2024-04-16,M,North,62
10158,2023-08-21,F,South,59
10159,2023-04-23,M,East,61
10160,2024-05-11,F,East,19
10161,2024-03-17,F,East,52
10162,2024-07-17,M,East,59
10163,2023-09-25,M,West,51
10164,2024-05-24,M,West,47
10165,2024-01-21,M,South,30
10166,2024-01-22,F,East,30
10167,2023-04-23,M,East,35
10168,2023-03-22,M,North,49
10169,2023-04-23,M,West,49
10170,2023-01-02,M,East,52
10171,2023-08-08,M,South,56
10172,2024-07-19,M,South,63
10173,2023-08-13,F,West,69
10174,2024-01-20,F,South,46
10175,2024-02-07,M,South,66
10176,2023-05-10,M,West,46
10177,2023-02-22,M,East,61
10178,2024-02-20,F,East,33
10179,2023-09-04,M,South,61
10180,2024-03-14,F,South,64
10181,2023-07-22,M,East,27
10182,2023-07-03,M,West,47
10183,2023-05-03,M,South,42
10184,2024-02-05,M,North,56
10185,2023-10-21,F,West,37
10186,2023-10-07,F,South,22
10187,2023-07-17,M,South,18
10188,2024-05-25,M,North,47
10189,2023-05-24,F,North,66
10190,2023-07-20,F,East,20
10191,2023-05-04,F,West,62
10192,2023-07-06,F,West,31
10193,2023-11-22,M,East,47
10194,2024-04-08,F,West,67
10195,2023-12-15,M,West,21
10196,2024-02-07,F,West,35
10197,2023-12-12,F,West,54
10198,2024-05-25,F,West,42
10199,2023-05-27,F,North,65
10200,2023-05-28,F,West,18
10201,2024-05-03,M,North,63
10202,2024-07-04,M,West,32
10203,2023-12-04,F,East,26
10204,2024-04-17,F,South,32
10205,2023-05-31,M,North,66
10206,2024-02-19,F,West,41
10207,2023-10-25,F,East,21
10208,2023-09-20,M,South,29
10209,2023-05-24,F,North,54
10210,2023-12-12,F,South,54
10211,2024-07-25,M,East,60
10212,2023-01-02,M,North,23
10213,2023-10-31,M,South,56
10214,2023-09-11,F,West,63
10215,2024-03-28,M,North,41
10216,2023-02-06,M,South,28
10217,2023-06-09,M,East,30
10218,2023-01-09,M,East,51
10219,2023-08-21,M,North,42
10220,2023-04-09,M,South,24
10221,2023-07-27,F,North,69
10222,2023-05-11,F,North,21
10223,2024-02-08,M,South,25
10224,2023-06-01,M,South,37
10225,2023-02-23,M,West,46
10226,2023-04-30,F,South,68
