date,customer_id,product_id,quantity,revenue
2024-01-01,10091,2003,1,297.64
2024-01-01,10415,2001,4,15782.52
2024-01-01,10224,2000,1,3400.69
2024-01-01,10416,2003,2,576.13
2024-01-01,10193,2005,3,1732.25
2024-01-01,10121,2001,3,12167.56
2024-01-01,10374,2000,4,14404.24
2024-01-01,10450,2005,1,667.74
2024-01-01,10358,2008,2,1735.42
2024-01-01,10327,2001,4,18299.87
2024-01-01,10317,2006,3,4162.71
2024-01-01,10387,2005,2,1298.05
2024-01-01,10382,2002,3,11825.93
2024-01-01,10361,2001,2,8790.18
2024-01-01,10011,2008,1,816.71
2024-01-01,10146,2006,2,2488.14
2024-01-01,10391,2006,1,1326.84
2024-01-01,10306,2001,2,9007.51
2024-01-01,10149,2004,4,9901.33
2024-01-01,10058,2002,4,14742.54
2024-01-01,10034,2005,3,1733.25
2024-01-01,10390,2000,2,7656.91
2024-01-01,10441,2007,4,20246.93
2024-01-01,10219,2003,4,1068.31
2024-01-01,10176,2002,4,15961.32
2024-01-01,10249,2004,2,4895.87
2024-01-01,10065,2001,4,16988.21
2024-01-01,10425,2002,3,11255.27
2024-01-01,10124,2002,1,3894.46
2024-01-01,10020,2000,3,11096.73
2024-01-01,10099,2006,2,2437.03
2024-01-01,10333,2001,3,12718.66
2024-01-01,10421,2008,2,1467.91
2024-01-01,10380,2007,3,14387.17
2024-01-01,10129,2006,2,2650.29
2024-01-01,10344,2008,4,3038.47
2024-01-01,10228,2004,3,7493.64
2024-01-01,10459,2007,4,21593.32
2024-01-01,10302,2009,3,7545.14
2024-01-01,10079,2009,1,2461.6
2024-01-01,10349,2008,1,790.16
2024-01-01,10263,2000,1,3271.98
2024-01-01,10467,2008,3,2507.91
2024-01-01,10484,2004,1,2623.43
2024-01-01,10043,2007,4,21176.42
2024-01-01,10389,2003,2,645.52
2024-01-01,10456,2004,4,8937.64
2024-01-01,10000,2006,3,3821.18
2024-01-01,10244,2004,1,2458.03
2024-01-01,10205,2009,4,11168.8
2024-01-01,10215,2001,1,4434.65
2024-01-01,10184,2006,3,3668.42
2024-01-01,10426,2001,3,13375.77
2024-01-01,10339,2006,4,4766.21
2024-01-01,10307,2001,2,9031.15
2024-01-01,10007,2001,1,3964.17
2024-01-01,10263,2005,1,671.07
2024-01-01,10174,2001,1,4606.37
2024-01-01,10217,2009,2,5086.22
2024-01-01,10144,2009,4,10920.41
2024-01-01,10368,2007,1,5121.7
2024-01-01,10288,2000,3,11443.5
2024-01-01,10141,2004,4,10114.88
2024-01-01,10089,2001,2,8810.33
2024-01-01,10062,2008,1,783.37
2024-01-01,10175,2008,1,808.93
2024-01-01,10488,2003,2,576.98
2024-01-01,10493,2003,2,580.99
2024-01-01,10481,2001,1,4571.59
2024-01-01,10338,2000,4,13451.99
2024-01-01,10454,2008,1,770.23
2024-01-01,10075,2009,3,7730.5
2024-01-01,10402,2008,1,756.33
2024-01-01,10496,2002,4,14162.58
2024-01-01,10266,2002,4,16212.77
2024-01-01,10329,2001,2,8629.97
2024-01-01,10084,2009,4,10217.04
2024-01-01,10453,2004,1,2376.55
2024-01-01,10011,2004,2,4935.1
2024-01-01,10462,2003,3,863.75
2024-01-01,10342,2005,2,1281.9
2024-01-01,10378,2004,3,7261.62
2024-01-01,10335,2004,4,10710.68
2024-01-01,10291,2002,3,11051.29
2024-01-01,10140,2005,3,1695.61
2024-01-01,10380,2003,4,1181.95
2024-01-01,10493,2002,4,15093.15
2024-01-01,10419,2001,2,8236.79
2024-01-01,10131,2009,1,2555.99
2024-01-01,10262,2009,3,7672.07
2024-01-01,10070,2007,1,5001.08
2024-01-01,10297,2007,4,19440.66
2024-01-01,10373,2006,2,2597.88
2024-01-01,10375,2009,3,8322.82
2024-01-01,10374,2005,2,1232.05
2024-01-01,10219,2008,2,1504.52
2024-01-01,10009,2007,2,9594.48
2024-01-01,10169,2007,4,19159.95
2024-01-01,10153,2004,4,9375.73
2024-01-01,10018,2003,4,1216.86
2024-01-01,10344,2001,3,13264.44
2024-01-01,10480,2006,2,2393.53
2024-01-01,10048,2002,4,16823.18
2024-01-01,10118,2004,1,2296.63
2024-01-01,10292,2002,4,14763.38
2024-01-01,10010,2009,1,2489.03
2024-01-01,10440,2008,2,1524.47
2024-01-01,10262,2004,2,4815.02
2024-01-01,10373,2006,1,1335.52
2024-01-01,10486,2007,4,20996.77
2024-01-01,10067,2009,2,5168.88
2024-01-01,10166,2003,4,1210.71
2024-01-01,10163,2002,1,3782.75
2024-01-01,10378,2005,1,628.55
2024-01-01,10268,2000,4,12809.08
2024-01-01,10004,2004,4,10564.24
2024-01-01,10049,2002,2,7420.34
2024-01-01,10057,2002,2,8108.38
2024-01-01,10214,2001,2,8728.92
2024-01-01,10353,2006,2,2486.43
2024-01-01,10149,2009,4,11117.99
2024-01-01,10476,2008,3,2411.85
2024-01-01,10445,2008,3,2517.38
2024-01-01,10144,2007,4,19639.46
2024-01-01,10029,2006,4,5631.91
2024-01-01,10117,2004,4,10656.37
2024-01-01,10363,2000,1,3625.69
2024-01-01,10083,2005,2,1127.38
2024-01-01,10230,2000,1,3734.01
2024-01-01,10037,2003,2,536.86
2024-01-01,10291,2000,3,10018.0
2024-01-01,10065,2008,1,773.7
2024-01-01,10248,2008,1,767.18
2024-01-01,10179,2006,2,2623.79
2024-01-01,10310,2005,3,1947.97
2024-01-01,10142,2005,4,2629.3
2024-01-01,10489,2000,2,7066.53
2024-01-01,10428,2002,2,8435.4
2024-01-01,10157,2005,3,1949.36
2024-01-01,10435,2008,3,2348.22
2024-01-01,10065,2001,3,12545.39
2024-01-01,10275,2001,4,18752.05
2024-01-01,10449,2008,1,856.02
2024-01-01,10163,2000,2,7569.25
2024-01-01,10237,2003,3,962.3
2024-01-01,10389,2008,1,777.08
2024-01-01,10391,2004,2,4914.96
2024-01-01,10078,2003,1,297.04
2024-01-01,10287,2003,2,562.11
2024-01-01,10446,2005,4,2317.12
2024-01-01,10253,2001,4,16791.73
2024-01-01,10286,2002,1,4141.46
2024-01-01,10265,2008,2,1591.54
2024-01-01,10177,2007,3,16236.02
2024-01-01,10082,2008,3,2190.96
2024-01-01,10155,2002,3,12215.92
2024-01-01,10251,2000,4,14395.15
2024-01-01,10039,2000,1,3586.19
2024-01-01,10307,2003,4,1182.88
2024-01-01,10230,2001,3,13699.96
2024-01-01,10190,2002,3,11823.82
2024-01-01,10469,2006,1,1256.98
2024-01-01,10132,2006,2,2383.67
2024-01-01,10404,2005,2,1169.31
2024-01-01,10137,2006,2,2412.42
2024-01-01,10388,2000,1,3163.37
2024-01-01,10241,2004,1,2602.5
2024-01-01,10172,2003,1,271.17
2024-01-01,10187,2004,4,9358.48
2024-01-01,10116,2009,2,4732.91
2024-01-01,10051,2001,4,18330.79
2024-01-01,10220,2003,1,291.74
2024-01-01,10020,2009,1,2357.85
2024-01-01,10191,2000,4,13503.98
2024-01-01,10128,2001,4,15796.33
2024-01-01,10096,2009,2,4619.3
2024-01-01,10443,2007,1,5255.53
2024-01-01,10246,2001,4,18622.22
2024-01-01,10199,2000,3,11335.21
2024-01-01,10342,2007,1,4589.39
2024-01-01,10415,2000,3,10895.29
2024-01-01,10332,2007,1,5177.64
2024-01-01,10384,2002,4,14447.11
2024-01-01,10016,2004,4,10284.29
2024-01-01,10313,2003,3,965.47
2024-01-01,10210,2006,3,3615.15
2024-01-01,10490,2009,1,2569.8
2024-01-01,10351,2007,4,19439.75
2024-01-01,10110,2000,3,11110.37
2024-01-01,10359,2008,1,779.38
2024-01-01,10433,2002,1,3729.45
2024-01-01,10323,2008,1,871.64
2024-01-01,10118,2001,2,9144.73
2024-01-01,10139,2007,2,10070.4
2024-01-01,10180,2001,3,11762.64
2024-01-01,10272,2007,2,9325.73
2024-01-01,10152,2007,3,14952.26
2024-01-01,10472,2001,2,8238.8
2024-01-01,10467,2004,4,9223.88
2024-01-01,10173,2000,4,15402.53
2024-01-01,10121,2006,3,4125.43
2024-01-01,10232,2001,1,4534.68
2024-01-01,10148,2007,2,10320.31
2024-01-01,10134,2006,4,4685.08
2024-01-01,10255,2005,2,1347.39
2024-01-01,10021,2001,2,7993.62
2024-01-01,10462,2003,3,964.48
2024-01-01,10462,2002,3,12565.4
2024-01-01,10460,2005,3,1937.62
2024-01-01,10352,2007,3,14204.53
2024-01-01,10018,2006,1,1181.53
2024-01-01,10107,2008,4,3150.65
2024-01-01,10135,2009,2,4589.69
2024-01-01,10128,2004,3,8087.72
2024-01-01,10103,2002,4,16876.57
2024-01-01,10353,2008,2,1673.84
2024-01-01,10301,2006,3,3617.34
2024-01-01,10424,2008,4,3208.35
2024-01-01,10233,2009,2,4616.13
2024-01-01,10208,2008,2,1679.05
2024-01-01,10019,2002,3,11306.44
2024-01-01,10311,2002,1,3626.95
2024-01-01,10110,2003,4,1242.5
