customer_id,ticket_date,response_hours
10204,2024-03-12,7.28
10204,2024-01-13,1.28
10191,2024-01-04,1.18
10191,2024-03-01,29.27
10441,2024-02-27,13.98
10441,2024-01-25,2.8
10348,2024-04-07,5.03
10348,2024-01-16,4.77
10102,2024-01-27,2.11
10102,2024-03-14,8.95
10102,2024-01-24,4.4
10102,2024-04-29,0.8
10102,2024-04-04,8.74
10102,2024-02-06,1.54
10102,2024-01-06,8.05
10018,2024-03-28,10.66
10018,2024-02-05,1.99
10347,2024-01-22,4.0
10347,2024-03-21,0.32
10249,2024-02-10,19.53
10249,2024-03-15,31.56
10249,2024-01-12,2.89
10403,2024-03-02,2.36
10218,2024-01-02,17.59
10218,2024-04-20,10.45
10199,2024-01-27,4.83
10199,2024-02-21,2.5
10199,2024-04-02,36.91
10199,2024-01-25,11.42
10316,2024-03-08,3.42
10402,2024-01-12,3.7
10402,2024-04-01,42.4
10402,2024-03-22,1.98
10402,2024-03-25,6.48
10104,2024-02-17,0.58
10327,2024-03-08,3.71
10208,2024-03-25,8.25
10208,2024-02-14,7.02
10208,2024-02-06,13.53
10208,2024-02-02,5.26
10140,2024-01-16,3.73
10140,2024-03-07,9.21
10374,2024-03-12,7.9
10374,2024-03-06,13.09
10356,2024-03-06,12.3
10356,2024-02-03,2.6
10356,2024-02-03,6.58
10262,2024-01-16,18.2
10187,2024-04-24,17.63
10187,2024-04-26,0.72
10406,2024-03-03,8.54
10406,2024-03-07,1.53
10406,2024-01-06,6.74
10000,2024-01-24,1.97
10431,2024-04-19,2.61
10277,2024-03-06,4.08
10277,2024-03-16,12.56
10190,2024-03-05,7.46
10333,2024-02-29,11.37
10089,2024-01-12,28.91
10416,2024-02-08,16.86
10416,2024-04-03,2.01
10047,2024-02-13,16.07
10047,2024-03-21,5.71
10047,2024-02-25,23.02
10112,2024-02-18,10.73
10464,2024-03-29,0.93
10468,2024-02-07,2.94
10250,2024-03-24,1.77
10250,2024-04-22,1.07
10250,2024-03-13,5.59
10257,2024-03-19,1.85
10273,2024-02-07,17.39
10273,2024-03-31,0.04
10273,2024-02-24,0.22
10051,2024-03-19,4.76
10051,2024-04-18,21.33
10071,2024-04-22,14.6
10071,2024-01-01,3.01
10117,2024-03-29,0.46
10117,2024-03-18,26.65
10117,2024-04-13,0.09
10117,2024-03-29,13.21
10300,2024-01-10,5.77
10300,2024-02-04,9.75
10300,2024-04-13,10.57
10300,2024-01-10,3.86
10300,2024-03-19,20.27
10224,2024-03-25,0.6
10224,2024-04-19,7.75
10224,2024-04-08,21.03
10224,2024-04-09,9.82
10487,2024-04-14,1.65
10054,2024-03-15,4.36
10054,2024-01-22,9.13
10054,2024-04-04,13.93
10054,2024-04-23,1.05
10334,2024-01-29,9.54
10029,2024-03-04,0.78
10029,2024-03-30,11.91
10264,2024-01-07,13.82
10264,2024-04-26,8.25
10032,2024-02-02,6.43
10032,2024-04-14,2.61
10032,2024-02-17,33.83
10032,2024-02-01,3.59
10428,2024-03-25,0.57
10309,2024-02-08,6.82
10309,2024-04-04,4.59
10306,2024-04-04,11.64
10306,2024-01-18,3.97
10129,2024-04-16,4.77
10011,2024-04-12,1.37
10011,2024-04-13,2.17
10011,2024-03-02,1.51
10009,2024-03-11,11.56
10009,2024-02-14,3.0
10009,2024-01-07,1.93
10009,2024-01-15,5.92
10349,2024-03-08,17.62
10349,2024-04-27,2.42
10349,2024-04-03,11.13
10341,2024-04-12,7.57
10341,2024-02-14,24.1
10335,2024-03-21,1.93
10482,2024-02-20,1.27
10072,2024-03-07,3.84
10072,2024-02-03,29.17
10072,2024-04-29,6.35
10219,2024-04-09,7.02
10459,2024-01-05,8.41
10459,2024-03-28,19.72
10459,2024-02-09,0.94
10174,2024-02-05,3.57
10174,2024-02-01,1.22
10069,2024-01-14,1.8
10082,2024-02-24,2.09
10082,2024-04-21,5.0
10082,2024-03-28,2.14
10082,2024-01-12,11.45
10422,2024-03-15,2.79
10422,2024-02-02,8.85
10422,2024-02-29,55.99
10422,2024-01-16,29.73
10422,2024-04-22,6.24
10354,2024-04-18,0.51
10405,2024-04-24,8.66
10023,2024-01-24,4.46
10023,2024-01-15,2.36
10023,2024-01-14,12.16
10127,2024-04-12,12.81
10127,2024-03-17,10.61
10127,2024-04-02,13.64
10159,2024-02-26,2.93
10159,2024-02-06,10.39
10159,2024-03-09,12.91
10159,2024-01-08,47.31
10159,2024-03-17,31.17
10147,2024-02-11,0.94
10259,2024-04-05,3.6
